raceplace,var_name,group,beta,se,varName,model
2,1.eversmoked,MCI,.0050619659,.12246218,eversmoked,ASE Adj Model
3,1.eversmoked,MCI,.024725294,.12060616,eversmoked,ASE Adj Model
4,1.eversmoked,MCI,-.036144428,.13579856,eversmoked,ASE Adj Model
5,1.eversmoked,MCI,.3289687,.58965033,eversmoked,ASE Adj Model
6,1.eversmoked,MCI,-.10676281,.14339875,eversmoked,ASE Adj Model
1,1.fxdementia,MCI,-.067641839,.11097945,fxdementia,ASE Adj Model
2,1.fxdementia,MCI,1.1801161,.18435074,fxdementia,ASE Adj Model
3,1.fxdementia,MCI,.57281369,.17582089,fxdementia,ASE Adj Model
4,1.fxdementia,MCI,.92687428,.19768862,fxdementia,ASE Adj Model
5,1.fxdementia,MCI,.10790651,1.1409506,fxdementia,ASE Adj Model
6,1.fxdementia,MCI,1.6171597,.2404705,fxdementia,ASE Adj Model
1,1.male,MCI,.23836823,.096507221,male,ASE Adj Model
2,1.male,MCI,.5330469,.11794098,male,ASE Adj Model
3,1.male,MCI,.37607181,.1174773,male,ASE Adj Model
4,1.male,MCI,.24618118,.13445406,male,ASE Adj Model
5,1.male,MCI,-.050937627,.60764438,male,ASE Adj Model
6,1.male,MCI,.10423434,.14796419,male,ASE Adj Model
1,1.srmc,MCI,.71456498,.098336004,srmc,ASE Adj Model
2,1.srmc,MCI,.62339234,.14308101,srmc,ASE Adj Model
3,1.srmc,MCI,.56771278,.13679592,srmc,ASE Adj Model
4,1.srmc,MCI,.62053037,.14657868,srmc,ASE Adj Model
5,1.srmc,MCI,.45048228,.5967555,srmc,ASE Adj Model
6,1.srmc,MCI,.059015907,.16081484,srmc,ASE Adj Model
1,1.strokehx,MCI,.91460264,.16069447,strokehx,ASE Adj Model
2,1.strokehx,MCI,.80851662,.28826186,strokehx,ASE Adj Model
3,1.strokehx,MCI,.71588171,.32988846,strokehx,ASE Adj Model
4,1.strokehx,MCI,.60026354,.33726785,strokehx,ASE Adj Model
5,1.strokehx,MCI,1.9659203,1.1106076,strokehx,ASE Adj Model
6,1.strokehx,MCI,.41588777,.269878,strokehx,ASE Adj Model
1,1.unmarried,MCI,.15951346,.11141533,unmarried,ASE Adj Model
2,1.unmarried,MCI,.29354039,.13834476,unmarried,ASE Adj Model
3,1.unmarried,MCI,-.13291548,.13425945,unmarried,ASE Adj Model
4,1.unmarried,MCI,.32451072,.15343399,unmarried,ASE Adj Model
5,1.unmarried,MCI,-.18107544,.69785619,unmarried,ASE Adj Model
6,1.unmarried,MCI,.089531697,.15545306,unmarried,ASE Adj Model
1,2.dm3cat,MCI,.27987608,.12545109,dm3cat,ASE Adj Model
2,2.dm3cat,MCI,.53288156,.16285196,dm3cat,ASE Adj Model
3,2.dm3cat,MCI,.41384101,.14183697,dm3cat,ASE Adj Model
4,2.dm3cat,MCI,.70902497,.17704983,dm3cat,ASE Adj Model
5,2.dm3cat,MCI,1.4539666,.69452119,dm3cat,ASE Adj Model
6,2.dm3cat,MCI,.39004299,.15426263,dm3cat,ASE Adj Model
1,2.htn3cat,MCI,.22088581,.12345158,htn3cat,ASE Adj Model
2,2.htn3cat,MCI,.060149565,.13401438,htn3cat,ASE Adj Model
3,2.htn3cat,MCI,.13432436,.14077641,htn3cat,ASE Adj Model
4,2.htn3cat,MCI,.23409921,.15226342,htn3cat,ASE Adj Model
5,2.htn3cat,MCI,-.65262002,.76598716,htn3cat,ASE Adj Model
6,2.htn3cat,MCI,.05414905,.22432026,htn3cat,ASE Adj Model
1,3.dm3cat,MCI,-.35256666,.34308952,dm3cat,ASE Adj Model
2,3.dm3cat,MCI,.064716779,.21334663,dm3cat,ASE Adj Model
3,3.dm3cat,MCI,.097267844,.22688702,dm3cat,ASE Adj Model
4,3.dm3cat,MCI,-.13497251,.26747742,dm3cat,ASE Adj Model
5,3.dm3cat,MCI,1.4423108,1.2885199,dm3cat,ASE Adj Model
6,3.dm3cat,MCI,.1266367,.31863746,dm3cat,ASE Adj Model
1,3.htn3cat,MCI,.22544791,.19747555,htn3cat,ASE Adj Model
2,3.htn3cat,MCI,.01727034,.24774803,htn3cat,ASE Adj Model
3,3.htn3cat,MCI,.051512197,.30512121,htn3cat,ASE Adj Model
4,3.htn3cat,MCI,.42888203,.26267186,htn3cat,ASE Adj Model
5,3.htn3cat,MCI,-17.268053,6241.7163,htn3cat,ASE Adj Model
6,3.htn3cat,MCI,-.41756615,.49551865,htn3cat,ASE Adj Model
1,age5,MCI,.35543123,.040380754,age5,ASE Adj Model
2,age5,MCI,.32160464,.057615232,age5,ASE Adj Model
3,age5,MCI,.31382743,.055854458,age5,ASE Adj Model
4,age5,MCI,.44947985,.062430978,age5,ASE Adj Model
5,age5,MCI,.27326578,.25982833,age5,ASE Adj Model
